Islands,y,x
Corvo,       39.67106226859879, -31.11362470019505
Flores,      39.458113165093444, -31.132089634693635
Faial,       38.51988992329496, -28.715014937042806
Pico,        38.55430695035533, -28.44135603209925
São Jorge,   38.66328770011398, -28.169865355343898
Graciosa,    39.09235455113123, -28.028601283425516
Terceira,    38.75703977960301, -27.085298004057375
São Miguel,  37.7459528686296, -25.710126851658337
Santa Maria, 36.97374722219599, -25.17094296546243
